"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Match";"Match ID";"Date";"Competition";"Competition ID";"Season";"Season ID";"Competition Edition ID";"Position";"Position Group";"Minutes";"Physical Check Passed";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"Time to HSR";"Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"Time to Sprint";"Time to Sprint post-COD";"Change of Direction Count";"Time to 505 around 90";"Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Djibril Sow";"D. Sow";"12411";"1997-02-06";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LDM";"Midfield";"67.1";"True";"7884.0";"117.5";"1331.0";"308.0";"35.0";"93.0";"6.0";"401.0";"41.0";"28.6";"75.0";"5.0";"68.0";"9.0";"4.0";"0.52";"0.52";"1.0";"1.58";"null";"30.0";"2.44";"null";"10574.66";"117.5";"1785.25";"413.11";"46.94";"124.74";"8.05";"537.85";"54.99";"100.6";"6.71";"91.21";"12.07";"5.37";"1.34";"40.24"
"Djibril Sow";"D. Sow";"12411";"1997-02-06";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LM";"Midfield";"103.62";"True";"12738.0";"122.93";"2374.0";"571.0";"49.0";"69.0";"5.0";"640.0";"54.0";"26.1";"115.0";"3.0";"96.0";"15.0";"3.0";"0.76";"0.91";"1.0";"2.14";"null";"34.0";"2.33";"3.15";"11064.05";"122.93";"2062.02";"495.96";"42.56";"59.93";"4.34";"555.9";"46.9";"99.89";"2.61";"83.38";"13.03";"2.61";"0.87";"29.53"
"Djibril Sow";"D. Sow";"12411";"1997-02-06";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LW";"Wide Attacker";"87.87";"True";"9892.0";"112.58";"1439.0";"470.0";"42.0";"149.0";"7.0";"619.0";"49.0";"29.4";"106.0";"3.0";"100.0";"11.0";"3.0";"0.96";"1.13";"0.0";"null";"null";"35.0";"1.89";"3.28";"10132.17";"112.58";"1473.94";"481.41";"43.02";"152.62";"7.17";"634.03";"50.19";"108.57";"3.07";"102.43";"11.27";"3.07";"0.0";"35.85"
"Lucien Jefferson Agoumé";"L. Agoumé";"13147";"2002-02-09";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"AM";"Midfield";"73.05";"True";"8979.0";"122.92";"1691.0";"437.0";"32.0";"23.0";"2.0";"460.0";"34.0";"25.1";"97.0";"2.0";"87.0";"11.0";"2.0";"0.73";"0.73";"0.0";"null";"null";"32.0";"2.03";"3.29";"11062.42";"122.92";"2083.37";"538.4";"39.43";"28.34";"2.46";"566.74";"41.89";"119.51";"2.46";"107.19";"13.55";"2.46";"0.0";"39.43"
"Lucien Jefferson Agoumé";"L. Agoumé";"13147";"2002-02-09";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RM";"Midfield";"84.92";"True";"10494.0";"123.58";"1781.0";"413.0";"45.0";"92.0";"5.0";"505.0";"50.0";"26.7";"108.0";"2.0";"99.0";"21.0";"0.0";"null";"null";"0.0";"null";"null";"32.0";"2.49";"2.75";"11122.2";"123.58";"1887.62";"437.72";"47.69";"97.51";"5.3";"535.23";"52.99";"114.47";"2.12";"104.93";"22.26";"0.0";"0.0";"33.92"
"Lucien Jefferson Agoumé";"L. Agoumé";"13147";"2002-02-09";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RM";"Midfield";"97.32";"True";"11978.0";"123.08";"1858.0";"647.0";"48.0";"98.0";"7.0";"745.0";"55.0";"26.4";"115.0";"1.0";"114.0";"9.0";"1.0";"0.91";"null";"1.0";"1.94";"null";"27.0";"2.64";"2.68";"11077.44";"123.08";"1718.31";"598.36";"44.39";"90.63";"6.47";"688.99";"50.86";"106.35";"0.92";"105.43";"8.32";"0.92";"0.92";"24.97"
"Lucien Jefferson Agoumé";"L. Agoumé";"13147";"2002-02-09";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"DM";"Midfield";"95.5";"True";"11100.0";"116.23";"1808.0";"424.0";"42.0";"74.0";"5.0";"498.0";"47.0";"26.1";"125.0";"3.0";"101.0";"19.0";"0.0";"null";"null";"0.0";"null";"null";"32.0";"2.01";"3.42";"10460.73";"116.23";"1703.87";"399.58";"39.58";"69.74";"4.71";"469.32";"44.29";"117.8";"2.83";"95.18";"17.91";"0.0";"0.0";"30.16"
"Lucien Jefferson Agoumé";"L. Agoumé";"13147";"2002-02-09";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RM";"Midfield";"97.08";"True";"10598.0";"109.16";"1548.0";"541.0";"48.0";"79.0";"7.0";"620.0";"55.0";"25.7";"110.0";"2.0";"99.0";"13.0";"1.0";"1.14";"1.14";"0.0";"null";"null";"30.0";"2.45";"2.68";"9824.76";"109.16";"1435.06";"501.53";"44.5";"73.24";"6.49";"574.76";"50.99";"101.97";"1.85";"91.78";"12.05";"0.93";"0.0";"27.81"
"Adrià Giner Pedrosa";"Adrià Pedrosa";"13934";"1998-05-13";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LB";"Full Back";"84.1";"True";"9416.0";"111.96";"1214.0";"512.0";"57.0";"294.0";"12.0";"806.0";"69.0";"31.4";"118.0";"7.0";"93.0";"24.0";"5.0";"0.7";"0.7";"5.0";"1.19";"1.19";"34.0";"1.88";"2.79";"10076.58";"111.96";"1299.17";"547.92";"61.0";"314.63";"12.84";"862.54";"73.84";"126.28";"7.49";"99.52";"25.68";"5.35";"5.35";"36.39"
"Adrià Giner Pedrosa";"Adrià Pedrosa";"13934";"1998-05-13";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LB";"Full Back";"91.03";"True";"9438.0";"103.68";"1054.0";"392.0";"54.0";"293.0";"16.0";"685.0";"70.0";"30.2";"116.0";"10.0";"81.0";"22.0";"7.0";"0.66";"1.14";"4.0";"1.27";"1.67";"35.0";"2.36";"2.74";"9330.87";"103.68";"1042.04";"387.55";"53.39";"289.67";"15.82";"677.22";"69.21";"114.68";"9.89";"80.08";"21.75";"6.92";"3.95";"34.6"
"Albert-Mboyo Sambi Lokonga";"A. Sambi Lokonga";"14541";"1999-10-22";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LM";"Midfield";"88.6";"True";"11147.0";"125.81";"2045.0";"566.0";"41.0";"124.0";"5.0";"690.0";"46.0";"27.1";"89.0";"3.0";"81.0";"5.0";"2.0";"0.7";"1.07";"1.0";"1.43";"null";"35.0";"2.15";"3.0";"11323.14";"125.81";"2077.31";"574.94";"41.65";"125.96";"5.08";"700.9";"46.73";"90.41";"3.05";"82.28";"5.08";"2.03";"1.02";"35.55"
"Albert-Mboyo Sambi Lokonga";"A. Sambi Lokonga";"14541";"1999-10-22";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RM";"Midfield";"74.27";"True";"8777.0";"118.18";"1276.0";"452.0";"45.0";"173.0";"8.0";"625.0";"53.0";"27.9";"91.0";"2.0";"75.0";"8.0";"2.0";"1.36";"null";"0.0";"null";"null";"31.0";"2.62";"2.86";"10636.4";"118.18";"1546.32";"547.76";"54.53";"209.65";"9.69";"757.41";"64.23";"110.28";"2.42";"90.89";"9.69";"2.42";"0.0";"37.57"
"Marcos do Nascimento Teixeira";"Marcão";"16261";"1996-06-05";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"97.73";"True";"9542.0";"97.63";"1076.0";"424.0";"41.0";"125.0";"9.0";"549.0";"50.0";"28.6";"126.0";"7.0";"89.0";"19.0";"5.0";"0.75";"0.78";"3.0";"1.51";"1.7";"24.0";"null";"3.25";"8786.97";"97.63";"990.86";"390.45";"37.76";"115.11";"8.29";"505.56";"46.04";"116.03";"6.45";"81.96";"17.5";"4.6";"2.76";"22.1"
"Rubén Vargas";"R. Vargas";"16968";"1998-08-05";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LW";"Wide Attacker";"67.1";"True";"7235.0";"107.82";"1018.0";"358.0";"43.0";"159.0";"12.0";"517.0";"55.0";"30.1";"70.0";"5.0";"58.0";"10.0";"5.0";"0.65";"0.65";"2.0";"1.19";"1.19";"26.0";"2.11";"null";"9704.17";"107.82";"1365.42";"480.18";"57.68";"213.26";"16.1";"693.44";"73.77";"93.89";"6.71";"77.79";"13.41";"6.71";"2.68";"34.87"
"Loïc Badé";"L. Badé";"24611";"2000-04-11";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RCB";"Central Defender";"97.73";"True";"10800.0";"110.5";"1506.0";"600.0";"55.0";"213.0";"11.0";"813.0";"66.0";"29.1";"121.0";"4.0";"96.0";"15.0";"2.0";"0.7";"0.7";"0.0";"null";"null";"38.0";"1.83";"2.92";"9945.43";"110.5";"1386.83";"552.52";"50.65";"196.15";"10.13";"748.67";"60.78";"111.43";"3.68";"88.4";"13.81";"1.84";"0.0";"34.99"
"Loïc Badé";"L. Badé";"24611";"2000-04-11";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RCB";"Central Defender";"103.15";"True";"11991.0";"116.25";"1478.0";"490.0";"42.0";"47.0";"3.0";"537.0";"45.0";"26.7";"125.0";"4.0";"93.0";"17.0";"4.0";"0.73";"0.73";"0.0";"null";"null";"30.0";"2.24";"3.4";"10462.34";"116.25";"1289.58";"427.53";"36.65";"41.01";"2.62";"468.54";"39.26";"109.06";"3.49";"81.14";"14.83";"3.49";"0.0";"26.18"
"Loïc Badé";"L. Badé";"24611";"2000-04-11";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RCB";"Central Defender";"97.32";"True";"10924.0";"112.25";"1490.0";"540.0";"52.0";"195.0";"10.0";"735.0";"62.0";"29.6";"117.0";"9.0";"92.0";"19.0";"5.0";"0.77";"0.77";"2.0";"1.36";"null";"34.0";"2.16";"3.43";"10102.69";"112.25";"1377.98";"499.4";"48.09";"180.34";"9.25";"679.74";"57.34";"108.2";"8.32";"85.08";"17.57";"4.62";"1.85";"31.44"
"Loïc Badé";"L. Badé";"24611";"2000-04-11";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RCB";"Central Defender";"100.5";"True";"10245.0";"101.94";"955.0";"253.0";"27.0";"40.0";"2.0";"293.0";"29.0";"25.6";"99.0";"7.0";"85.0";"7.0";"5.0";"0.71";"0.71";"0.0";"null";"null";"36.0";"2.42";"3.17";"9174.63";"101.94";"855.22";"226.57";"24.18";"35.82";"1.79";"262.39";"25.97";"88.66";"6.27";"76.12";"6.27";"4.48";"0.0";"32.24"
"Loïc Badé";"L. Badé";"24611";"2000-04-11";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RCB";"Central Defender";"103.62";"True";"11274.0";"108.8";"1667.0";"466.0";"43.0";"77.0";"7.0";"543.0";"50.0";"26.7";"113.0";"10.0";"89.0";"14.0";"8.0";"0.75";"1.16";"1.0";"1.4";"null";"31.0";"2.08";"2.9";"9792.44";"108.8";"1447.93";"404.76";"37.35";"66.88";"6.08";"471.64";"43.43";"98.15";"8.69";"77.3";"12.16";"6.95";"0.87";"26.93"
"Chidera Ejuke";"C. Ejuke";"26779";"1998-01-02";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LF";"Wide Attacker";"64.27";"True";"7008.0";"109.05";"954.0";"371.0";"46.0";"119.0";"9.0";"490.0";"55.0";"27.8";"84.0";"7.0";"71.0";"17.0";"6.0";"0.65";"0.65";"1.0";"1.27";"null";"39.0";"2.29";"null";"9814.11";"109.05";"1336.0";"519.55";"64.42";"166.65";"12.6";"686.2";"77.02";"117.63";"9.8";"99.43";"23.81";"8.4";"1.4";"54.62"
"Gerard Fernández Castellano";"Peque Fernández";"53346";"2002-10-04";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LW";"Wide Attacker";"67.5";"True";"7774.0";"115.17";"1116.0";"350.0";"39.0";"153.0";"8.0";"503.0";"47.0";"30.0";"73.0";"5.0";"63.0";"18.0";"4.0";"0.92";"0.92";"0.0";"null";"null";"28.0";"2.14";"null";"10365.33";"115.17";"1488.0";"466.67";"52.0";"204.0";"10.67";"670.67";"62.67";"97.33";"6.67";"84.0";"24.0";"5.33";"0.0";"37.33"
"José Ángel Carmona Navarro";"José Ángel Carmona";"62106";"2002-01-29";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"97.73";"True";"10294.0";"105.33";"1334.0";"600.0";"68.0";"319.0";"18.0";"919.0";"86.0";"29.4";"127.0";"14.0";"110.0";"22.0";"12.0";"0.66";"0.66";"6.0";"1.32";"null";"49.0";"2.01";"2.97";"9479.47";"105.33";"1228.44";"552.52";"62.62";"293.76";"16.58";"846.28";"79.2";"116.95";"12.89";"101.3";"20.26";"11.05";"5.53";"45.12"
"José Ángel Carmona Navarro";"José Ángel Carmona";"62106";"2002-01-29";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"103.15";"True";"11216.0";"108.73";"1518.0";"697.0";"64.0";"158.0";"12.0";"855.0";"76.0";"28.0";"124.0";"10.0";"100.0";"29.0";"7.0";"0.67";"0.67";"3.0";"1.2";"1.2";"79.0";"1.89";"2.5";"9786.14";"108.73";"1324.48";"608.14";"55.84";"137.86";"10.47";"746.0";"66.31";"108.19";"8.73";"87.25";"25.3";"6.11";"2.62";"68.93"
"José Ángel Carmona Navarro";"José Ángel Carmona";"62106";"2002-01-29";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"97.32";"True";"10492.0";"107.81";"1365.0";"611.0";"69.0";"361.0";"19.0";"972.0";"88.0";"31.5";"122.0";"11.0";"108.0";"20.0";"7.0";"0.65";"0.9";"3.0";"1.18";"1.88";"64.0";"1.79";"3.36";"9703.17";"107.81";"1262.37";"565.06";"63.81";"333.86";"17.57";"898.92";"81.38";"112.83";"10.17";"99.88";"18.5";"6.47";"2.77";"59.19"
"José Ángel Carmona Navarro";"José Ángel Carmona";"62106";"2002-01-29";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"103.62";"True";"10912.0";"105.31";"1340.0";"688.0";"78.0";"345.0";"21.0";"1033.0";"99.0";"30.2";"122.0";"7.0";"98.0";"21.0";"5.0";"0.68";"0.7";"2.0";"1.5";"1.5";"40.0";"2.0";"2.49";"9478.01";"105.31";"1163.91";"597.59";"67.75";"299.66";"18.24";"897.25";"85.99";"105.97";"6.08";"85.12";"18.24";"4.34";"1.74";"34.74"
"José Ángel Carmona Navarro";"José Ángel Carmona";"62106";"2002-01-29";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LB";"Full Back";"97.08";"True";"10143.0";"104.48";"1068.0";"710.0";"66.0";"304.0";"17.0";"1014.0";"83.0";"31.2";"119.0";"13.0";"102.0";"23.0";"7.0";"0.68";"0.68";"4.0";"1.2";"1.2";"53.0";"2.24";"2.57";"9402.95";"104.48";"990.08";"658.2";"61.18";"281.82";"15.76";"940.02";"76.94";"110.32";"12.05";"94.56";"21.32";"6.49";"3.71";"49.13"
"Isaac Romero Bernal";"Isaac Romero";"69307";"2000-05-18";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"97.73";"True";"11788.0";"120.61";"1683.0";"705.0";"68.0";"249.0";"15.0";"954.0";"83.0";"30.1";"120.0";"9.0";"97.0";"16.0";"6.0";"0.65";"0.68";"2.0";"1.43";"null";"48.0";"2.2";"null";"10855.25";"120.61";"1549.83";"649.22";"62.62";"229.3";"13.81";"878.51";"76.43";"110.5";"8.29";"89.32";"14.73";"5.53";"1.84";"44.2"
